ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A1,"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,0.0
A2,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,0.0
A3,"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,8.0,250.0,250.0,0.0
A4,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,10.0,250.0,250.0,0.0
A5,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0
A6,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0
A7,"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder",FAST,INDUSTRIAL ELECTRONIC,VERY FAST,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1000.0,20.0,250.0,250.0,0.0
A8,nan,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,1.25,125.0,0.0,0.0
A9,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0
A10,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0
